date,close,volume,yield,adjclose
2017/04/21,73.5,238.184,0,96.6
2017/04/20,72.8,228.422,0,95.9
2017/04/19,72.8,669.533,0,95.9
2017/04/18,73.6,302.372,0,96.7
2017/04/17,73.6,393.147,0,96.7
2017/04/14,73.55,196.995,0,96.65
2017/04/13,74.4,446.309,0,97.5
2017/04/12,74.05,143.46,0,97.15
2017/04/11,73.9,93.7795,0,97
2017/04/10,74.2,78.626,0,97.3
2017/04/07,74.1,139.506,0,97.2
2017/04/06,74.4,209.241,0,97.5
2017/04/05,74.65,267.911,0,97.75
2017/03/31,73.7,148.378,0,96.8
2017/03/30,73.9,161.5,0,97
2017/03/29,74,182.878,0,97.1
2017/03/28,74.25,413.438,0,97.35
2017/03/27,74.2,183.602,0,97.3
2017/03/24,74.25,245.457,0,97.35
2017/03/23,74.35,305.445,0,97.45
2017/03/22,74.2,366.164,0,97.3
2017/03/21,74.9,634.989,0,98
2017/03/20,73.95,375.54,0,97.05
2017/03/17,74,389.527,0,97.1
2017/03/16,73.8,555.972,0,96.9
2017/03/15,72.85,254.234,0,95.95
2017/03/14,73,287.953,0,96.1
2017/03/13,72.5,182.074,0,95.6
2017/03/10,72,389.032,0,95.1
2017/03/09,72.05,243.825,0,95.15
2017/03/08,72.85,158.53,0,95.95
2017/03/07,72.45,146.869,0,95.55
2017/03/06,72.15,157.106,0,95.25
2017/03/03,72.1,318.136,0,95.2
2017/03/02,72.55,512.24,0,95.65
2017/03/01,72.35,225.726,0,95.45
2017/02/24,73.15,134.857,0,96.25
2017/02/23,73.1,170.966,0,96.2
2017/02/22,73.3,215.549,0,96.4
2017/02/21,73.25,244.318,0,96.35
2017/02/20,73.1,205.434,0,96.2
2017/02/18,73.5,237.095,0,96.6
2017/02/17,73.35,381.393,0,96.45
2017/02/16,73.45,402.439,0,96.55
2017/02/15,73.9,692.432,0,97
2017/02/14,73.2,445.062,0,96.3
2017/02/13,72.95,243.216,0,96.05
2017/02/10,72.8,353.758,0,95.9
2017/02/09,72,255.343,0,95.1
2017/02/08,71.75,317.74,0,94.85
2017/02/07,73.3,315.682,0,96.4
2017/02/06,73.25,215.766,0,96.35
2017/02/03,72.85,204.727,0,95.95
2017/02/02,72.9,511.783,0,96
2017/01/24,73.3,334.83,0,96.4
2017/01/23,72.75,434.673,0,95.85
2017/01/20,72.15,174.73,0,95.25
2017/01/19,71.95,292.416,0,95.05
2017/01/18,72.15,276.891,0,95.25
2017/01/17,72.3,113.686,0,95.4
2017/01/16,72,174.146,0,95.1
2017/01/13,72.6,284.091,0,95.7
2017/01/12,73.15,354.848,0,96.25
2017/01/11,72.4,137.621,0,95.5
2017/01/10,72.4,134.625,0,95.5
2017/01/09,72.45,366.344,0,95.55
2017/01/06,72.65,272.388,0,95.75
2017/01/05,72.5,330.423,0,95.6
2017/01/04,71.85,308.178,0,94.95
2017/01/03,71.9,167.301,0,95
2016/12/30,71.8,195.67,0,94.9
2016/12/29,71.25,136.351,0,94.35
2016/12/28,71.6,263.089,0,94.7
2016/12/27,70.75,176.417,0,93.85
2016/12/26,70.8,148.796,0,93.9
2016/12/23,70.55,361.673,0,93.65
2016/12/22,70.8,352.951,0,93.9
2016/12/21,71.7,668.442,0,94.8
2016/12/20,71.75,145.669,0,94.85
2016/12/19,71.85,193.048,0,94.95
2016/12/16,72.3,155.908,0,95.4
2016/12/15,73,219.455,0,96.1
2016/12/14,73.1,206.669,0,96.2
2016/12/13,72.95,185.728,0,96.05
2016/12/12,72.85,234.599,0,95.95
2016/12/09,73.15,395.995,0,96.25
2016/12/08,72.9,442.984,0,96
2016/12/07,72,105.807,0,95.1
2016/12/06,72,175.404,0,95.1
2016/12/05,71.1,98.5769,0,94.2
2016/12/02,71.2,235.129,0,94.3
2016/12/01,72,140.73,0,95.1
2016/11/30,71.7,137.592,0,94.8
2016/11/29,71.65,101.829,0,94.75
2016/11/28,71.75,189.939,0,94.85
2016/11/25,71.35,189.254,0,94.45
2016/11/24,71.4,164.355,0,94.5
2016/11/23,71.8,136.842,0,94.9
2016/11/22,71.45,377.012,0,94.55
2016/11/21,70.5,186.524,0,93.6
2016/11/18,70.4,148.731,0,93.5
2016/11/17,70.2,232.129,0,93.3
2016/11/16,70,1739.24,0,93.1
2016/11/15,69.9,280.81,0,93
2016/11/14,70.1,496.754,0,93.2
2016/11/11,70.05,588.02,0,93.15
2016/11/10,72,481.885,0,95.1
2016/11/09,70,1410.92,0,93.1
2016/11/08,72.35,194.531,0,95.45
2016/11/07,72,232.394,0,95.1
2016/11/04,71,308.627,0,94.1
2016/11/03,71.2,324.765,0,94.3
2016/11/02,71.75,394.615,0,94.85
2016/11/01,72.6,146.646,0,95.7
2016/10/31,72.6,394.236,0,95.7
2016/10/28,72.6,310.172,0,95.7
2016/10/27,72.6,230.465,0,95.7
2016/10/26,73,209.503,0,96.1
2016/10/25,73.4,271.85,0,96.5
2016/10/24,72.7,237.613,0,95.8
2016/10/21,72.6,308.183,0,95.7
2016/10/20,72.65,351.124,0,95.75
2016/10/19,72.35,1563.48,0,95.45
2016/10/18,71.95,259.443,0,95.05
2016/10/17,71.45,314.012,0,94.55
2016/10/14,71.45,259.915,0,94.55
2016/10/13,71.7,391.91,0,94.8
2016/10/12,72.25,435.873,0,95.35
2016/10/11,71.45,499.048,0,94.55
2016/10/07,71.65,218.908,0,94.75
2016/10/06,71.7,148.366,0,94.8
2016/10/05,71.5,203.317,0,94.6
2016/10/04,71.75,370.215,0,94.85
2016/10/03,71.45,277.329,0,94.55
2016/09/30,70.95,415.284,0,94.05
