date,close,volume,yield,adjclose
2017/04/21,190,3603.06,3.68053,234.214
2017/04/20,187,6118.46,3.73957,231.214
2017/04/19,186.5,5828.2,3.7496,230.714
2017/04/18,188,5411.37,3.71968,232.214
2017/04/17,187.5,3223.52,3.7296,231.714
2017/04/14,189,5909.58,3.7,233.214
2017/04/13,191.5,2829.92,3.6517,235.714
2017/04/12,191,3321.98,3.66126,235.214
2017/04/11,191,1862.49,3.66126,235.214
2017/04/10,190,3307.52,3.68053,234.214
2017/04/07,191,3624.73,3.66126,235.214
2017/04/06,191.5,3337.42,3.6517,235.714
2017/04/05,193,8656.2,3.62332,237.214
2017/03/31,189,6457.32,3.7,233.214
2017/03/30,191.5,5884.77,3.6517,235.714
2017/03/29,191.5,6501.69,3.6517,235.714
2017/03/28,194.5,7662.55,3.59537,238.714
2017/03/27,193,5766.2,3.62332,237.214
2017/03/24,192.5,3408.02,3.63273,236.714
2017/03/23,193.5,3628.4,3.61395,237.714
2017/03/22,193.5,5349.88,3.61395,237.714
2017/03/21,195,6523.32,3.58615,239.214
2017/03/20,191.5,3154.24,3.6517,235.714
2017/03/17,191.5,7377.28,3.6517,235.714
2017/03/16,190,6143.25,3.68053,234.214
2017/03/15,186.5,2634.48,3.7496,230.714
2017/03/14,186,4564.71,3.75968,230.214
2017/03/13,186.5,2048.48,3.7496,230.714
2017/03/10,183.5,4569.39,3.8109,227.714
2017/03/09,184.5,5750.01,3.24751,228.714
2017/03/08,187,7217.76,3.20409,231.214
2017/03/07,185.5,4214.03,3.23,229.714
2017/03/06,183.5,2321.09,3.2652,227.714
2017/03/03,184,5199.92,3.25633,228.214
2017/03/02,186,7603.47,3.22132,230.214
2017/03/01,186,9041.73,3.22132,230.214
2017/02/24,189,4945.61,3.17019,233.214
2017/02/23,188.5,6809.5,3.17859,232.714
2017/02/22,188.5,4946.74,3.17859,232.714
2017/02/21,190,6058.37,3.1535,234.214
2017/02/20,190,2523.6,3.1535,234.214
2017/02/18,189.5,667.393,3.16182,233.714
2017/02/17,189.5,3870.48,3.16182,233.714
2017/02/16,189,5360.5,3.17019,233.214
2017/02/15,189,7528.27,3.17019,233.214
2017/02/14,187.5,8798.95,3.19555,231.714
2017/02/13,187.5,4904.44,3.19555,231.714
2017/02/10,185.5,9113.65,3.23,229.714
2017/02/09,184,4320.16,3.26503,228.214
2017/02/08,183.5,8371.55,3.27392,227.714
2017/02/07,184.5,4418.69,3.25618,228.714
2017/02/06,184.5,5476.15,3.25618,228.714
2017/02/03,184.5,5604.88,3.25618,228.714
2017/02/02,184.5,28731.4,3.25618,228.714
2017/01/24,185.5,13356.9,3.23863,229.714
2017/01/23,185,10699.6,3.24738,229.214
2017/01/20,181,7658.56,3.31914,225.214
2017/01/19,180.5,4673.78,3.32834,224.714
2017/01/18,181,4292.68,3.31914,225.214
2017/01/17,181,2386.58,3.31914,225.214
2017/01/16,179.5,5545.43,3.34688,223.714
2017/01/13,181.5,9622.62,3.31,225.714
2017/01/12,184.5,8959.26,3.25618,228.714
2017/01/11,182,5438.14,3.30091,226.214
2017/01/10,184,3811.5,3.26503,228.214
2017/01/09,184,3419.41,3.26217,228.214
2017/01/06,184,4250.91,3.26217,228.214
2017/01/05,183.5,3913.39,3.27106,227.714
2017/01/04,183,4478.7,3.28,227.214
2017/01/03,183,4300.65,3.28,227.214
2016/12/30,181.5,6647.44,3.30711,225.714
2016/12/29,180,5453.51,3.33467,224.214
2016/12/28,182,3896.59,3.29802,226.214
2016/12/27,180,1488.5,3.33467,224.214
2016/12/26,179.5,1021.27,3.34396,223.714
2016/12/23,178.5,4359.36,3.36269,222.714
2016/12/22,179,4758.58,3.3533,223.214
2016/12/21,180,5828.55,3.33467,224.214
2016/12/20,182.5,4394.84,3.28899,226.714
2016/12/19,182.5,3763.43,3.28899,226.714
2016/12/16,185,6720.63,3.24454,229.214
2016/12/15,187,4508.25,3.20984,231.214
2016/12/14,187.5,3131.82,3.20128,231.714
2016/12/13,186,4398.86,3.2271,230.214
2016/12/12,185,3494.58,3.24454,229.214
2016/12/09,186,4618.75,3.22274,230.214
2016/12/08,185.5,5030.77,3.23143,229.714
2016/12/07,181.5,2645.15,3.30264,225.714
2016/12/06,182,5051.41,3.29357,226.214
2016/12/05,179,5771.61,3.34877,223.214
2016/12/02,178,9634.4,3.36758,222.214
2016/12/01,183,2540.48,3.27557,227.214
2016/11/30,183,9882.15,3.27557,227.214
2016/11/29,182,4930.41,3.29357,226.214
2016/11/28,184,4097.5,3.25777,228.214
2016/11/25,182,1866.76,3.29357,226.214
2016/11/24,183,3505.3,3.27557,227.214
2016/11/23,185.5,4278.32,3.23143,229.714
2016/11/22,184,5758.73,3.25777,228.214
2016/11/21,181,2824.32,3.31177,225.214
2016/11/18,181,4291.5,3.31177,225.214
2016/11/17,181.5,4214.24,3.30264,225.714
2016/11/16,180,6403.37,3.33017,224.214
2016/11/15,180,6055.35,3.33017,224.214
2016/11/14,180.5,8680.85,3.32094,224.714
2016/11/11,181.5,12291.3,3.30264,225.714
2016/11/10,185.5,7258.71,3.23143,229.714
2016/11/09,182,10245.5,3.29904,226.214
2016/11/08,188.5,3011.08,3.18528,232.714
2016/11/07,189,4023.21,3.17685,233.214
2016/11/04,184.5,2791.86,3.25434,228.714
2016/11/03,184.5,4724.82,3.25434,228.714
2016/11/02,186,3085.45,3.22809,230.214
2016/11/01,189.5,2854.6,3.16847,233.714
2016/10/31,188.5,4871.34,3.18528,232.714
2016/10/28,189.5,6268.99,3.16847,233.714
2016/10/27,188.5,5089.14,3.18528,232.714
2016/10/26,191.5,4758.58,3.13538,235.714
2016/10/25,193,3680.31,3.11101,237.214
2016/10/24,191,2742.13,3.14359,235.214
2016/10/21,188.5,4246.61,3.18528,232.714
2016/10/20,190.5,2989.56,3.15184,234.714
2016/10/19,189.5,7206.48,3.16847,233.714
2016/10/18,187,7582.45,3.21083,231.214
2016/10/17,186.5,7051.99,3.21944,230.714
2016/10/14,188,6450.98,3.19375,232.214
2016/10/13,188.5,7675.21,3.18528,232.714
2016/10/12,189.5,4625.44,3.16847,233.714
2016/10/11,187.5,5874.77,3.20227,231.714
2016/10/07,188,2969.72,3.19234,232.214
2016/10/06,187.5,2928.53,3.20085,231.714
2016/10/05,186,3549.07,3.22667,230.214
2016/10/04,187,3191.09,3.20941,231.214
2016/10/03,186,3525.97,3.22667,230.214
2016/09/30,182.5,8309.46,3.28855,226.714
2016/09/29,185.5,10764.1,3.23536,229.714
2016/09/26,183,4635.64,3.27956,227.214
2016/09/23,187.5,4314,3.20085,231.714
2016/09/22,185.5,3921.94,3.23536,229.714
2016/09/21,184,4805.88,3.26174,228.214
2016/09/20,183,4319.89,3.27956,227.214
2016/09/19,182.5,10375.7,3.28855,226.714
2016/09/14,173.5,9216.41,3.45914,217.714
2016/09/13,175,6736.15,3.42949,219.214
2016/09/12,175,7504.51,3.42949,219.214
2016/09/10,178,2747.1,3.37169,222.214
2016/09/09,179.5,5518.56,3.34429,223.714
2016/09/08,183,5555.01,3.28033,227.214
2016/09/07,184,9311.45,3.2625,228.214
2016/09/06,179,5218.92,3.35363,223.214
2016/09/05,176.5,4884.21,3.40113,220.714
2016/09/02,174.5,3368.71,3.44011,218.714
2016/09/01,173.5,4486.4,3.45994,217.714
2016/08/31,176,7408.33,3.4108,220.214
2016/08/30,174.5,3452.9,3.44011,218.714
2016/08/29,176.5,2980.25,3.40113,220.714
2016/08/26,177,2788.76,3.39153,221.214
2016/08/25,177,4223.27,3.39153,221.214
2016/08/24,173.5,2182.7,3.45994,217.714
2016/08/23,174,3742.52,3.45,218.214
2016/08/22,173,3765.99,3.46994,217.214
2016/08/19,174.5,4116.96,3.44011,218.714
2016/08/18,176,4897.23,3.4108,220.214
2016/08/17,177,4272.17,3.39153,221.214
2016/08/16,175.5,6042.81,3.42051,219.714
2016/08/15,179,2438.22,3.35363,223.214
2016/08/12,177.5,4264.51,3.38197,221.714
2016/08/11,176.5,4982.11,3.40113,220.714
2016/08/10,179.5,3453.61,3.34429,223.714
2016/08/09,178.5,2940.14,3.35924,222.714
2016/08/08,178,2882.44,3.36868,222.214
2016/08/05,177,4555.69,3.38771,221.214
2016/08/04,174.5,2481.94,3.43625,218.714
2016/08/03,172.5,3745.32,3.47609,216.714
2016/08/02,176,2707.29,3.40696,220.214
2016/08/01,177,6112.48,3.38771,221.214
2016/07/29,172.5,5229.45,3.47609,216.714
2016/07/28,176.5,5464.44,3.39731,220.714
2016/07/27,175,6318.69,3.42643,219.214
2016/07/26,173,5634.15,3.46604,217.214
2016/07/25,171.5,4645.42,3.49636,215.714
2016/07/22,171,5106.38,3.50658,215.214
2016/07/21,172,6034.35,3.48619,216.214
2016/07/20,170,6633.51,3.52721,214.214
2016/07/19,170.5,7424.37,3.51686,214.714
2016/07/18,169.5,4188.97,3.53761,213.714
2016/07/15,169.5,7039.08,3.53761,213.714
2016/07/14,169,6094.18,3.54808,213.214
2016/07/13,168.5,8708.08,3.55861,212.714
2016/07/12,171,7177.36,3.50658,215.214
2016/07/11,170,9066.25,3.52721,214.214
2016/07/07,164.5,4009.46,3.64374,208.714
2016/07/06,161.5,5661.72,3.71142,205.714
2016/07/05,164,2697.84,3.65485,208.214
2016/07/04,166,4302.83,3.61081,210.214
2016/07/01,166,6042.24,3.61081,210.214
2016/06/30,162.5,6916.57,3.68858,206.714
2016/06/29,159,5108.3,3.76978,203.214
2016/06/28,157,6111.75,3.8178,201.214
2016/06/27,155.5,6739.71,3.85463,199.714
2016/06/24,159,13854.5,3.76978,197.214
2016/06/23,164,3715.36,3.65485,202.214
2016/06/22,166,5013.18,3.61081,204.214
2016/06/21,165.5,4621.99,3.62172,203.714
2016/06/20,163,4090.16,3.67727,201.214
2016/06/17,163,5117.15,3.67727,201.214
2016/06/16,160.5,5942.66,3.73455,198.714
2016/06/15,163,4763.33,3.67727,201.214
2016/06/14,162,4508.8,3.69997,200.214
2016/06/13,162,8843.81,3.69997,200.214
2016/06/08,165.5,7522.71,3.62538,203.714
2016/06/07,162,7726.09,3.7037,200.214
2016/06/06,161,4651.66,3.72671,199.214
2016/06/04,160,420.393,3.75,198.214
2016/06/03,160.5,5124.47,3.73832,198.714
2016/06/02,159,3500.29,3.77358,197.214
2016/06/01,159,4386.77,3.77358,197.214
2016/05/31,156.5,10968.8,3.83387,194.714
2016/05/30,157,6001.07,3.82166,195.214
2016/05/27,156.5,4146.29,3.83387,194.714
2016/05/26,155,2908.89,3.87097,193.214
2016/05/25,154.5,5441.69,3.8835,192.714
2016/05/24,151,3904.88,3.97351,189.214
2016/05/23,154,7660.61,3.8961,192.214
2016/05/20,148.5,5647.03,4.0404,186.714
2016/05/19,147,5165.15,4.08163,185.214
2016/05/18,147,4552.18,4.08163,185.214
2016/05/17,147,4782.4,4.08163,185.214
2016/05/16,144.5,4658.96,4.15225,182.714
2016/05/13,144,8748.59,4.16667,182.214
2016/05/12,146,3525.77,4.10959,184.214
2016/05/11,147,6728.62,4.08163,185.214
2016/05/10,147,5773.11,4.08163,185.214
2016/05/09,147.5,5865.54,4.06373,185.714
2016/05/06,148,5824.46,4.05,186.214
2016/05/05,147.5,5994.82,4.06373,185.714
2016/05/04,147,8191.11,4.07755,185.214
2016/05/03,147.5,10159.7,4.06373,185.714
2016/04/29,150,11394.5,3.996,188.214
2016/04/28,153,7596.74,3.91765,191.214
2016/04/27,156.5,5787.77,3.83003,194.714
2016/04/26,158,2921.6,3.79367,196.214
2016/04/25,157.5,2304.99,3.80571,195.714
2016/04/22,156.5,4585.33,3.83003,194.714
2016/04/21,157,4748.32,3.81783,195.214
2016/04/20,154,6743.77,3.89221,192.214
2016/04/19,157.5,4378.11,3.80571,195.714
2016/04/18,158,3294.13,3.79367,196.214
2016/04/15,159.5,7971.48,3.75799,197.714
2016/04/14,161.5,5048.47,3.71146,199.714
2016/04/13,161.5,6494.55,3.71146,199.714
2016/04/12,158.5,2355.63,3.7817,196.714
2016/04/11,158.5,3653.17,3.7817,196.714
2016/04/08,157.5,6638.32,3.81251,195.714
2016/04/07,154.5,5527,3.88654,192.714
2016/04/06,153.5,9740.56,3.91186,191.714
2016/04/01,158.5,5490.32,3.78845,196.714
2016/03/31,162,8719.28,3.70661,200.214
2016/03/30,161.5,7394.95,3.71808,199.714
2016/03/29,159,3039.16,3.77654,197.214
2016/03/28,159,2513.69,3.77654,197.214
2016/03/25,158,1727.6,3.80044,196.214
2016/03/24,158.5,3975.17,3.78845,196.714
2016/03/23,159.5,4683.22,3.7647,197.714
2016/03/22,158.5,4629.94,3.78845,196.714
2016/03/21,160,4409.31,3.75294,198.214
2016/03/18,159.5,9212.47,3.7647,197.714
2016/03/17,158.5,8305.21,3.78845,196.714
2016/03/16,156,4833.62,3.84917,194.214
2016/03/15,154.5,4559.51,3.88654,192.714
2016/03/14,156,5161.78,3.84917,194.214
2016/03/11,155,4837.6,3.874,193.214
2016/03/10,154.5,4806.65,3.88654,192.714
2016/03/09,153,3739.06,2.94209,191.214
2016/03/08,152,6126.86,2.96145,190.214
2016/03/07,152,3655.84,2.96145,190.214
2016/03/04,152.5,5763.19,2.95174,190.714
2016/03/03,154,4438.19,2.92299,192.214
2016/03/02,153,5548.59,2.94209,191.214
2016/03/01,152,6637.11,2.96145,190.214
2016/02/26,149,6913.78,3.02107,187.214
2016/02/25,150.5,3783.1,2.99096,188.714
2016/02/24,148,3279.74,3.04149,186.214
2016/02/23,149.5,3365.51,3.01097,187.714
2016/02/22,151,4489.65,2.98106,189.214
2016/02/19,151,5618.62,2.98106,189.214
2016/02/18,151,9304.77,2.98106,189.214
2016/02/17,148,5700.55,3.04149,186.214
2016/02/16,147.5,8269.45,3.0518,185.714
2016/02/15,145,11147.9,3.10441,183.214
2016/02/03,146,10413.9,3.08527,184.214
2016/02/02,142.5,3624.57,3.16105,180.714
2016/02/01,144,6278.17,3.12812,182.214
2016/01/30,142,1683.79,3.17218,180.214
2016/01/29,143,8136.87,3.15,181.214
2016/01/28,140,5281.97,3.2175,178.214
2016/01/27,139.5,3417.46,3.22903,177.714
2016/01/26,137.5,3325.85,3.276,175.714
2016/01/25,139.5,3800.92,3.22903,177.714
2016/01/22,138.5,4657.79,3.25235,176.714
2016/01/21,135,4320.11,3.33667,173.214
2016/01/20,134.5,6000.66,3.34907,172.714
2016/01/19,138,3422.49,3.26413,176.214
2016/01/18,137,5054.78,3.28796,175.214
2016/01/15,137,10911,3.28796,175.214
2016/01/14,131.5,5177.86,3.42548,169.714
2016/01/13,133.5,6719.82,3.37416,171.714
2016/01/12,133,4657.05,3.38684,171.214
2016/01/11,133,6430.76,3.38684,171.214
2016/01/08,134,7022.21,3.3609,172.214
2016/01/07,133,8432.79,3.38617,171.214
2016/01/06,135.5,7321.14,3.32369,173.714
2016/01/05,138,6436.85,3.26348,176.214
2016/01/04,139.5,6137.8,3.22839,177.714
2015/12/31,143,2671.83,3.14937,181.214
2015/12/30,142.5,2098.17,3.16042,180.714
2015/12/29,142,1848.99,3.17155,180.214
2015/12/28,143.5,1555.9,3.1384,181.714
2015/12/25,143,880.105,3.14937,181.214
2015/12/24,142,1926.69,3.17155,180.214
2015/12/23,141.5,2576.33,3.18276,179.714
2015/12/22,142,2431.74,3.17155,180.214
2015/12/21,141.5,3808.02,3.18276,179.714
2015/12/18,142,5964.66,3.17155,180.214
2015/12/17,145,5005.82,3.10593,183.214
2015/12/16,143.5,8381.63,3.1384,181.714
2015/12/15,138,3891.71,3.26348,176.214
2015/12/14,139,5217.88,3.24,177.214
2015/12/11,139.5,4494.19,3.22839,177.714
2015/12/10,141,5817.85,3.19404,179.214
2015/12/09,140.5,4323.36,3.20605,178.714
2015/12/08,142.5,4846.42,3.16105,180.714
