date,close,volume,yield,adjclose
2017/04/21,62,173.665,5.64256,110.055
2017/04/20,61.9,230.013,5.65168,109.955
2017/04/19,62.4,408.035,5.60639,110.455
2017/04/18,62.8,433.368,5.57068,110.855
2017/04/17,63.6,122.515,5.50061,111.655
2017/04/14,63.2,138.988,5.53543,111.255
2017/04/13,63.5,274.329,5.50928,111.555
2017/04/12,63.1,398.774,5.5442,111.155
2017/04/11,63.1,453.426,5.5442,111.155
2017/04/10,63.6,372.576,5.50061,111.655
2017/04/07,62.5,650.495,6.08462,110.555
2017/04/06,62.5,495.16,6.08462,110.555
2017/04/05,63,517.396,6.03633,111.055
2017/03/31,61.7,475.326,6.16352,109.755
2017/03/30,61.9,541.55,6.1436,109.955
2017/03/29,62.5,967.298,6.08462,110.555
2017/03/28,66,351.267,5.76195,114.055
2017/03/27,66,236.92,5.76195,114.055
2017/03/24,65.4,183.313,5.81482,113.455
2017/03/23,65.4,172.028,5.81482,113.455
2017/03/22,64.9,444.923,5.85961,112.955
2017/03/21,66.6,549.309,5.71005,114.655
2017/03/20,65.7,194.035,5.78827,113.755
2017/03/17,66.2,314.151,5.74455,114.255
2017/03/16,66.2,365.665,5.74455,114.255
2017/03/15,66,254.333,5.76195,114.055
2017/03/14,66,368.922,5.76195,114.055
2017/03/13,64.9,203.266,5.85961,112.955
2017/03/10,64.3,214.907,5.91429,112.355
2017/03/09,63.8,297.991,5.95128,111.855
2017/03/08,63.9,210.302,5.94197,111.955
2017/03/07,64.9,312.439,5.85042,112.955
2017/03/06,64,120.649,5.93269,112.055
2017/03/03,64,396.423,5.93269,112.055
2017/03/02,64.1,678.588,5.92343,112.155
2017/03/01,62.5,370.554,6.07507,110.555
2017/02/24,63.7,458.577,5.96063,111.755
2017/02/23,63.8,567.382,5.95128,111.855
2017/02/22,61.9,387.426,6.13396,109.955
2017/02/21,62,244.76,6.12406,110.055
2017/02/20,62.9,342.86,6.03644,110.955
2017/02/18,63.4,92.4245,5.98883,111.455
2017/02/17,63.2,262.142,6.00778,111.255
2017/02/16,64.1,542.61,5.92343,112.155
2017/02/15,64,609.596,5.93269,112.055
2017/02/14,63.9,530.38,5.94197,111.955
2017/02/13,63.7,511.871,5.96063,111.755
2017/02/10,63.4,691.194,5.98883,111.455
2017/02/09,61.5,706.338,6.17707,109.555
2017/02/08,61.1,568.271,6.21751,109.155
2017/02/07,62,355.56,6.12726,110.055
2017/02/06,62.5,340.46,6.07824,110.555
2017/02/03,62.4,393.36,6.08798,110.455
2017/02/02,63.3,679.954,6.00142,111.355
2017/01/24,63.6,414.71,5.97311,111.655
2017/01/23,63.5,788.598,5.98252,111.555
2017/01/20,63.3,223.093,6.00142,111.355
2017/01/19,64,316.641,5.93578,112.055
2017/01/18,63.5,343.725,5.98252,111.555
2017/01/17,63.6,344.406,5.97311,111.655
2017/01/16,63.5,274.509,5.98252,111.555
2017/01/13,64,367.479,5.93578,112.055
2017/01/12,63.5,590.359,5.98252,111.555
2017/01/11,63,430.787,6.03,111.055
2017/01/10,61.5,306.284,6.17707,109.555
2017/01/09,61.6,272.239,6.17143,109.655
2017/01/06,60.4,477.162,6.29404,108.455
2017/01/05,60,606.283,6.336,108.055
2017/01/04,60,548.011,6.336,108.055
2017/01/03,60,207.767,6.336,108.055
2016/12/30,60.3,190.952,6.30448,108.355
2016/12/29,59.7,223.356,6.36784,107.755
2016/12/28,60.1,163.203,6.32546,108.155
2016/12/27,59.1,68.1855,6.43249,107.155
2016/12/26,59,84.8617,6.44339,107.055
2016/12/23,58.4,249.418,6.50959,106.455
2016/12/22,58.9,294.666,6.45433,106.955
2016/12/21,59,179.128,6.44339,107.055
2016/12/20,59.4,244.069,6.4,107.455
2016/12/19,59.7,154.093,6.36784,107.755
2016/12/16,59.5,816.46,6.38924,107.555
2016/12/15,61,282.596,6.23213,109.055
2016/12/14,61,449.523,6.23213,109.055
2016/12/13,60.5,421.062,6.28364,108.555
2016/12/12,60.8,393.105,6.25263,108.855
2016/12/09,59.5,296.793,6.38924,107.555
2016/12/08,59.2,274.888,6.42162,107.255
2016/12/07,59.2,158.997,6.42162,107.255
2016/12/06,58.7,164.466,6.47632,106.755
2016/12/05,58.8,147.601,6.46531,106.855
2016/12/02,59,264.424,6.44339,107.055
2016/12/01,59,500.726,6.44339,107.055
2016/11/30,59.4,662.978,6.4,107.455
2016/11/29,58.7,404.31,6.47632,106.755
2016/11/28,59.1,295.168,6.43249,107.155
2016/11/25,58.6,99.6504,6.48737,106.655
2016/11/24,58.5,105.695,6.49846,106.555
2016/11/23,59.3,287.699,6.41079,107.355
2016/11/22,58.8,526.784,6.46531,106.855
2016/11/21,58,346.082,6.55448,106.055
2016/11/18,58.7,345.115,6.47632,106.755
2016/11/17,58,298.934,6.55448,106.055
2016/11/16,58.3,435.73,6.52075,106.355
2016/11/15,58,384.171,6.55448,106.055
2016/11/14,57.7,546.464,6.58856,105.755
2016/11/11,58,609.027,6.55448,106.055
2016/11/10,62.7,267.864,6.06316,110.755
2016/11/09,61.6,482.608,6.16841,109.655
2016/11/08,64,239.64,5.93709,112.055
2016/11/07,63.9,167.037,5.94638,111.955
2016/11/04,62.2,236.298,6.10891,110.255
2016/11/03,62.9,218.516,6.04092,110.955
2016/11/02,63.8,161.65,5.95571,111.855
2016/11/01,64.8,183.905,5.8638,112.855
2016/10/31,64,276.272,5.93709,112.055
2016/10/28,64.9,190.642,5.85476,112.955
2016/10/27,64.5,365.912,5.89107,112.555
2016/10/26,66.5,340.9,5.71389,114.555
2016/10/25,66.2,367.428,5.73979,114.255
2016/10/24,65.3,217.78,5.8189,113.355
2016/10/21,65.9,337.867,5.76592,113.955
2016/10/20,65,179.213,5.84575,113.055
2016/10/19,66,352.167,5.75718,114.055
2016/10/18,66,232.363,5.75718,114.055
2016/10/17,66.5,380.535,5.71389,114.555
2016/10/14,64.3,321.004,5.90939,112.355
2016/10/13,65.1,471.499,5.83677,113.155
2016/10/12,66.1,247.569,5.74847,114.155
2016/10/11,66.4,467.668,5.7225,114.455
2016/10/07,66.8,596.299,5.68546,114.855
2016/10/06,66.3,332.313,5.72834,114.355
2016/10/05,66.4,387.503,5.71971,114.455
2016/10/04,65.8,460.181,5.77187,113.855
2016/10/03,66.1,257.115,5.74567,114.155
2016/09/30,65.4,578.581,5.80717,113.455
2016/09/29,67.4,857.113,5.63485,115.455
2016/09/26,66,262.897,5.75438,114.055
2016/09/23,66.8,487.94,5.68546,114.855
2016/09/22,66,794.374,5.75438,114.055
2016/09/21,66.4,1380.83,5.71971,114.455
2016/09/20,64.3,1018.89,5.90652,112.355
2016/09/19,62.7,1210.41,6.05724,110.755
2016/09/14,59.3,402.04,6.40454,107.355
2016/09/13,59.9,430.004,6.34038,107.955
2016/09/12,59.6,292.274,6.3723,107.655
2016/09/10,59.9,156.785,6.34038,107.955
2016/09/09,62,362.003,6.1341,110.055
2016/09/08,62.5,666.404,6.08502,110.555
2016/09/07,62,378.733,6.1341,110.055
2016/09/06,62,612.992,6.1341,110.055
2016/09/05,60.3,189.502,6.30703,108.355
2016/09/02,60,311.175,6.33857,108.055
2016/09/01,58.8,506.191,6.46793,106.855
2016/08/31,58.7,705.505,6.47894,106.755
2016/08/30,60.3,250.658,6.30703,108.355
2016/08/29,60.8,252.207,6.25517,108.855
2016/08/26,61.5,151.864,6.18397,109.555
2016/08/25,62.3,367.331,6.10456,110.355
2016/08/24,60.5,229.94,6.28618,108.555
2016/08/23,60.7,471.193,6.26547,108.755
2016/08/22,60,310.411,6.33857,108.055
2016/08/19,61.3,195.595,6.20414,109.355
2016/08/18,61.9,209.418,6.14401,109.955
2016/08/17,62,450.404,6.1341,110.055
2016/08/16,61.7,807.586,6.16392,109.755
2016/08/15,60.6,729.678,6.27581,108.655
2016/08/12,59,381.53,6.446,107.055
2016/08/11,59,360.654,6.446,107.055
2016/08/10,59,694.608,6.446,107.055
2016/08/09,59.4,329.684,6.39781,107.455
2016/08/08,59.1,476.391,6.43029,107.155
2016/08/05,58.8,375.661,6.4631,106.855
2016/08/04,58.8,381.797,6.4631,106.855
2016/08/03,58.8,430.944,6.4631,106.855
2016/08/02,60.5,343.299,6.28149,108.555
2016/08/01,60.4,863.833,6.29189,108.455
2016/07/29,64.9,731.996,5.85562,109.155
2016/07/28,65,447.59,5.84662,109.255
2016/07/27,64.8,364.159,5.86466,109.055
2016/07/26,64.7,716.276,5.87372,108.955
2016/07/25,65,562.644,5.84662,109.255
2016/07/22,65.8,625.878,5.77553,110.055
2016/07/21,68,767.019,5.58868,112.255
2016/07/20,66.4,680.554,5.72334,110.655
2016/07/19,66.7,553.354,5.6976,110.955
2016/07/18,66.5,762.965,5.71474,110.755
2016/07/15,64.4,449.877,5.90109,108.655
2016/07/14,63.8,535.795,5.95658,108.055
2016/07/13,65.4,808.445,5.81086,109.655
2016/07/12,62.3,431.781,6.1,106.555
2016/07/11,62.8,469.843,6.05143,107.055
2016/07/07,61.6,445.428,6.16721,105.855
2016/07/06,59.5,384.006,6.38487,103.755
2016/07/05,61.5,246.938,6.17724,105.755
2016/07/04,62.2,364.989,6.10772,106.455
2016/07/01,62.1,465.002,6.11755,106.355
2016/06/30,61,711.971,6.22787,105.255
2016/06/29,60.1,381.163,6.32113,104.355
2016/06/28,59.3,306.247,6.40641,103.555
2016/06/27,59.1,240.064,6.42809,103.355
2016/06/24,59.2,600.018,6.41723,103.455
2016/06/23,60.2,570.977,6.31063,104.455
2016/06/22,59.4,644.816,6.39562,103.655
2016/06/21,59.1,444.638,6.42809,103.355
2016/06/20,59.1,570.904,6.42809,103.355
2016/06/17,58.9,464.5,6.44992,103.155
2016/06/16,58.5,415.923,6.49402,102.755
2016/06/15,58,366.081,6.55,102.255
2016/06/14,58,252.314,6.55,102.255
2016/06/13,58,412.039,6.55,102.255
2016/06/08,58,414.901,6.55379,102.255
2016/06/07,58,299.389,6.55379,102.255
2016/06/06,57.5,191.452,6.61078,101.755
2016/06/04,57.6,14.9441,6.59931,101.855
2016/06/03,58,138.294,6.55379,102.255
2016/06/02,58,427.775,6.55379,102.255
2016/06/01,58,451.601,6.55379,102.255
2016/05/31,58,544.036,6.55379,102.255
2016/05/30,57.9,231.277,6.56511,102.155
2016/05/27,57.2,133.414,6.64545,101.455
2016/05/26,57.3,127.945,6.63386,101.555
2016/05/25,56.9,262.276,6.68049,101.155
2016/05/24,57.1,244.016,6.65709,101.355
2016/05/23,56.3,386.419,6.75169,100.555
2016/05/20,54.7,172.589,6.94918,98.955
2016/05/19,55.1,234.764,6.89873,99.355
2016/05/18,55.9,468.741,6.8,100.155
2016/05/17,55.4,311.847,6.86137,99.655
2016/05/16,54.7,225.884,6.94918,98.955
2016/05/13,54.4,578.173,6.9875,98.655
2016/05/12,54.4,392.276,6.9875,98.655
2016/05/11,53.3,470.162,7.13171,97.555
2016/05/10,51.4,190.048,7.39533,95.655
2016/05/09,50.6,141.435,7.90798,94.855
2016/05/06,51,227.68,7.84596,95.255
2016/05/05,50.8,323.78,7.87685,95.055
2016/05/04,51.2,438.977,7.81531,95.455
2016/05/03,52.5,318.452,7.62179,96.755
2016/04/29,52,333.676,7.69508,96.255
2016/04/28,54,420.573,7.41007,98.255
2016/04/27,55.5,239.069,7.2098,99.755
2016/04/26,54.9,216.189,7.2886,99.155
2016/04/25,54.5,87.4676,7.34209,98.755
2016/04/22,54.2,125.236,7.38273,98.455
2016/04/21,54.7,194.716,7.31525,98.955
2016/04/20,54.5,337.43,7.34209,98.755
2016/04/19,56,369.12,7.14543,100.255
2016/04/18,55.3,240.742,7.23588,99.555
2016/04/15,55.3,259.677,7.23588,99.555
2016/04/14,55.9,290.043,7.15821,100.155
2016/04/13,56,241.283,7.14543,100.255
2016/04/12,55.5,343.01,7.2098,99.755
2016/04/11,55.5,370.167,7.2098,99.755
2016/04/08,55.5,449.143,7.2098,99.755
2016/04/07,55,311.951,7.27535,99.255
2016/04/06,55.2,518.694,7.24899,99.455
2016/04/01,56,427.736,7.14543,100.255
2016/03/31,56.2,473.507,7.12,100.455
2016/03/30,56.9,333.536,7.03241,101.155
2016/03/29,55.5,229.645,7.2098,99.755
2016/03/28,56.4,181.881,7.09475,100.655
2016/03/25,56.6,228.604,7.06968,100.855
2016/03/24,57.7,274.236,6.9349,101.955
2016/03/23,58,261.2,6.89903,102.255
2016/03/22,59.1,288.201,6.77063,103.355
2016/03/21,59.2,507.648,6.75919,103.455
2016/03/18,59.6,506.293,6.71383,103.855
2016/03/17,59,339.207,6.7821,103.255
2016/03/16,57.8,186.152,6.92291,102.055
2016/03/15,57.7,284.24,6.9349,101.955
2016/03/14,57.7,250.046,6.9349,101.955
2016/03/11,57.4,328.497,6.97115,101.655
2016/03/10,57.1,156.087,7.00778,101.355
2016/03/09,57.2,216.501,6.98864,101.455
2016/03/08,57.2,370.221,6.98864,101.455
2016/03/07,56.9,413.126,7.02548,101.155
2016/03/04,56.9,244.63,7.02548,101.155
2016/03/03,57.5,417.08,6.95217,101.755
2016/03/02,56.7,248.138,7.05026,100.955
2016/03/01,56.5,322.602,7.07522,100.755
2016/02/26,56.2,289.543,7.11299,100.455
2016/02/25,55.5,181.89,7.2027,99.755
2016/02/24,55.6,161.461,7.18975,99.855
2016/02/23,55.1,218.419,7.25499,99.355
2016/02/22,56.3,178.358,7.10036,100.555
2016/02/19,55.8,205.946,7.16398,100.055
2016/02/18,55.3,214.254,7.22875,99.555
2016/02/17,54.5,213.952,7.33486,98.755
2016/02/16,54,266.725,7.40278,98.255
2016/02/15,53.9,302.422,7.41651,98.155
2016/02/03,52.6,274.094,7.60742,96.855
2016/02/02,54.4,264.46,7.3557,98.655
2016/02/01,53.7,452.992,7.45158,97.955
2016/01/30,53.3,95.4387,7.50751,97.555
2016/01/29,52.7,565.731,7.59298,96.955
2016/01/28,51.2,406.613,7.81543,95.455
2016/01/27,49.9,148.435,8.01904,94.155
2016/01/26,49.95,244.724,8.01101,94.205
2016/01/25,51,278.833,7.84608,95.255
2016/01/22,48.6,155.554,8.23354,92.855
2016/01/21,47.7,249.233,8.38889,91.955
2016/01/20,48.55,450.138,8.24202,92.805
2016/01/19,49.25,203.055,8.12487,93.505
2016/01/18,49.3,318.571,8.11663,93.555
2016/01/15,49.9,463.801,8.01904,94.155
2016/01/14,50.7,253.565,7.89251,94.955
2016/01/13,50.7,154.854,7.89251,94.955
2016/01/12,50.4,287.246,7.93948,94.655
2016/01/11,50.2,327.742,7.97112,94.455
2016/01/08,50.3,476.343,7.94911,94.555
2016/01/07,48.75,446.332,8.20185,93.005
2016/01/06,49.75,574.675,8.03698,94.005
2016/01/05,50.4,233.016,7.93333,94.655
2016/01/04,50.6,289.586,7.90198,94.855
2015/12/31,53,108.933,7.54415,97.255
2015/12/30,52.7,180.44,7.5871,96.955
2015/12/29,53.1,123.613,7.52994,97.355
2015/12/28,53.1,90.1595,7.52994,97.355
2015/12/25,53.4,64.6369,7.48764,97.655
2015/12/24,53,90.7611,7.54415,97.255
2015/12/23,53.5,111.2,7.47364,97.755
2015/12/22,52.9,209.287,7.55841,97.155
2015/12/21,53.8,155.53,7.43197,98.055
2015/12/18,53.3,229.648,7.50169,97.555
2015/12/17,53.5,388.398,7.47364,97.755
2015/12/16,51.8,432.81,7.71892,96.055
2015/12/15,52.1,341.555,7.67447,96.355
2015/12/14,51.6,261.2,7.74884,95.855
2015/12/11,52.5,652.673,7.616,96.755
2015/12/10,55,535.113,7.26982,99.255
2015/12/09,53.5,510.029,7.47953,97.755
2015/12/08,55.1,398.742,7.26234,99.355
2015/12/07,56.3,455.507,7.10755,100.555
2015/12/04,56.6,759.348,7.06988,100.855
2015/12/03,55,518.257,7.27555,99.255
2015/12/02,55.1,803.461,7.26234,99.355
2015/12/01,52.6,423.086,7.60751,96.855
2015/11/30,51,710.338,7.84618,95.255
2015/11/27,52.1,221.862,7.68052,96.355
2015/11/26,52.1,237.724,7.68052,96.355
2015/11/25,52,262.341,7.69529,96.255
2015/11/24,52.6,159.406,7.60751,96.855
2015/11/23,53.6,233.024,7.46558,97.855
2015/11/20,52.8,214.646,7.57869,97.055
2015/11/19,53.8,337.448,7.43783,98.055
2015/11/18,52.6,304.03,7.60751,96.855
2015/11/17,53.9,250.542,7.42403,98.155
2015/11/16,53,339.99,7.5501,97.255
2015/11/13,53.3,523.914,7.5076,97.555
2015/11/12,54.2,301.804,7.38293,98.455
2015/11/11,53.5,402.341,7.47953,97.755
2015/11/10,55.2,314.542,7.24919,99.455
2015/11/09,55.9,170.734,7.16048,100.155
2015/11/06,56,340.584,7.1477,100.255
2015/11/05,57.1,227.252,7.01,101.355
2015/11/04,57.5,546.792,6.96123,101.755
2015/11/03,57,395.979,7.0223,101.255
2015/11/02,55.8,329.67,7.17332,100.055
2015/10/30,55.5,320.033,7.21209,99.755
2015/10/29,55.6,387.894,7.19912,99.855
2015/10/28,56.8,262.137,7.04702,101.055
2015/10/27,57.1,266.405,7.01,101.355
2015/10/26,57.4,374.185,6.97336,101.655
2015/10/23,56.8,540.793,7.04702,101.055
2015/10/22,57.8,359.707,6.9251,102.055
2015/10/21,56.5,259.558,7.08444,100.755
2015/10/20,56.2,417.793,7.12226,100.455
2015/10/19,57.4,269.593,6.97336,101.655
2015/10/16,58.2,425.296,6.87751,102.455
2015/10/15,58.5,417.145,6.84224,102.755
2015/10/14,58.5,396.462,6.84224,102.755
2015/10/13,58.2,451.586,6.87751,102.455
2015/10/12,58.6,774.323,6.83056,102.855
2015/10/08,57.6,702.864,6.94552,101.855
2015/10/07,57.2,519.108,6.99409,101.455
2015/10/06,57.1,486.534,7.00634,101.355
2015/10/05,57.2,298.274,6.99409,101.455
2015/10/02,57,487.147,7.01863,101.255
2015/10/01,57,535.955,7.01863,101.255
2015/09/30,57.1,532.83,7.00634,101.355
2015/09/25,57.1,183.91,7.00634,101.355
2015/09/24,57.5,195.657,6.9576,101.755
2015/09/23,58.1,376.693,6.88575,102.355
2015/09/22,60.6,171.999,6.60168,104.855
2015/09/21,60.1,292.338,6.65661,104.355
2015/09/18,62.9,307.217,6.36029,107.155
2015/09/17,61.9,375.844,6.46304,106.155
2015/09/16,61.6,247.37,6.49451,105.855
2015/09/15,61,149.482,6.55839,105.255
2015/09/14,61.5,263.275,6.50507,105.755
2015/09/11,61.5,261.062,6.50507,105.755
2015/09/10,62.5,312.946,6.40099,106.755
2015/09/09,60.8,381.816,6.58158,105.055
2015/09/08,58.6,226.352,6.82867,102.855
2015/09/07,58.7,228.602,6.81704,102.955
2015/09/04,59,180.826,6.78237,103.255
2015/09/03,59,183.619,6.78237,103.255
2015/09/02,59.5,295.134,6.72538,103.755
2015/09/01,59.8,384.708,6.69164,104.055
2015/08/31,59.8,432.89,6.69164,104.055
2015/08/28,58.6,396.953,6.82867,102.855
2015/08/27,56,510.94,7.14571,100.255
2015/08/26,55.8,333.853,7.17133,100.055
2015/08/25,55.2,467.308,7.24928,99.455
2015/08/24,53.6,566.278,7.46567,97.855
2015/08/21,54.2,438.268,7.38303,98.455
2015/08/20,54.9,452.581,7.28889,99.155
