date,close,volume,yield,adjclose
2017/04/21,294.5,299.037,5.77589,485.339
2017/04/20,287.5,1046.24,5.91652,478.339
2017/04/19,291.5,396.752,5.83533,482.339
2017/04/18,287,388.215,5.92683,477.839
2017/04/17,284,208.126,5.98944,474.839
2017/04/14,286,106.817,5.94755,476.839
2017/04/13,290.5,281.479,5.85542,481.339
2017/04/12,293,564.668,5.80546,483.839
2017/04/11,288.5,632.034,5.89601,479.339
2017/04/10,295.5,581.191,5.75635,486.339
2017/04/07,299,639.406,5.02099,489.839
2017/04/06,299,448.88,5.02099,489.839
2017/04/05,306.5,845.758,4.89812,497.339
2017/03/31,300,656.545,5.00425,490.839
2017/03/30,297.5,480.166,5.0463,488.339
2017/03/29,297,501.271,5.0548,487.839
2017/03/28,297,686.724,5.0548,487.839
2017/03/27,296.5,1382.62,5.06332,487.339
2017/03/24,291.5,355.598,5.15017,482.339
2017/03/23,291,250.724,5.15902,481.839
2017/03/22,290.5,433.298,5.1679,481.339
2017/03/21,289,526.956,5.19472,479.839
2017/03/20,284,194.132,5.28618,474.839
2017/03/17,287,563.403,5.23092,477.839
2017/03/16,288,338.648,5.21276,478.839
2017/03/15,286.5,347.187,5.24005,477.339
2017/03/14,287.5,902.859,5.22183,478.339
2017/03/13,280,212.728,5.3617,470.839
2017/03/10,279,550.243,5.38091,469.839
2017/03/09,278,446.517,5.39126,468.839
2017/03/08,276.5,652.471,5.42051,467.339
2017/03/07,278,734.427,5.39126,468.839
2017/03/06,277,364.028,5.41072,467.839
2017/03/03,279,506.497,5.37193,469.839
2017/03/02,278.5,478.796,5.38158,469.339
2017/03/01,274.5,566.245,5.46,465.339
2017/02/24,277.5,480.91,5.40097,468.339
2017/02/23,279,343.333,5.37193,469.839
2017/02/22,274.5,223.756,5.46,465.339
2017/02/21,274,201.893,5.46996,464.839
2017/02/20,274.5,126.427,5.46,465.339
2017/02/18,275.5,25.9944,5.44018,466.339
2017/02/17,275,287.32,5.45007,465.839
2017/02/16,274,561.814,5.46996,464.839
2017/02/15,280,733.226,5.35275,470.839
