date,close,volume,yield,adjclose
2017/04/21,90,439.254,3.44306,260.612
2017/04/20,88.9,647.965,3.48566,259.512
2017/04/19,87.5,496.93,3.54143,258.112
2017/04/18,89.2,336.322,3.47394,259.812
2017/04/17,89.3,278.735,3.47004,259.912
2017/04/14,90,183.05,3.44306,260.612
2017/04/13,90.9,306.268,3.40897,261.512
2017/04/12,89.4,485.484,3.46616,260.012
2017/04/11,90.6,359.415,3.42025,261.212
2017/04/10,91.5,121.134,3.38661,262.112
2017/04/07,91,485.105,3.406,261.612
2017/04/06,92,607.513,3.36898,262.612
2017/04/05,93.8,985.359,3.30433,264.412
2017/03/31,92.5,293.54,3.35077,263.112
2017/03/30,93.2,231.292,3.3256,263.812
2017/03/29,93.9,150.644,3.30081,264.512
2017/03/28,94,218.898,3.2973,264.612
2017/03/27,93.3,156.599,3.32204,263.912
2017/03/24,93.8,224.378,3.30433,264.412
2017/03/23,95.1,240.379,3.25916,265.712
2017/03/22,94.9,214.981,3.26603,265.512
2017/03/21,95,412.411,3.26259,265.612
2017/03/20,94.9,442.047,3.26603,265.512
2017/03/17,94,378.396,3.2973,264.612
2017/03/16,92.9,394.278,3.33634,263.512
2017/03/15,93.2,283.189,3.3256,263.812
2017/03/14,93.1,405.387,3.32917,263.712
2017/03/13,91.8,256.687,3.37632,262.412
2017/03/10,92,342.738,3.36898,262.612
2017/03/09,91.4,265.863,3.39482,262.012
2017/03/08,92.2,335.939,3.36537,262.812
2017/03/07,92.5,312.743,3.35445,263.112
2017/03/06,92.9,316.146,3.34001,263.512
2017/03/03,91.7,276.832,3.38372,262.312
2017/03/02,91.6,498.121,3.38741,262.212
2017/03/01,93.1,637.55,3.33284,263.712
2017/02/24,91.7,676.396,3.38372,262.312
2017/02/23,92.9,895.097,3.34001,263.512
2017/02/22,95.8,296.933,3.2389,266.412
2017/02/21,95.3,222.027,3.2559,265.912
2017/02/20,95.8,371.273,3.2389,266.412
2017/02/18,95,106.492,3.26618,265.612
2017/02/17,95.1,197.693,3.26274,265.712
2017/02/16,95.3,574.927,3.2559,265.912
2017/02/15,97.1,749.043,3.19554,267.712
2017/02/14,96.1,1126.49,3.22879,266.712
2017/02/13,94.9,816.668,3.26962,265.512
2017/02/10,92.6,717.006,3.35083,263.212
2017/02/09,92.7,787.045,3.34023,263.312
2017/02/08,94,1169.77,3.29403,264.612
2017/02/07,89.8,189.701,3.4481,260.412
2017/02/06,89.4,394.394,3.46352,260.012
2017/02/03,88.4,461.423,3.5027,259.012
2017/02/02,88.6,649.541,3.4948,259.212
2017/01/24,87.9,382.652,3.52263,258.512
2017/01/23,87.2,635.004,3.55091,257.812
2017/01/20,84.6,168.459,3.66004,255.212
2017/01/19,85.9,309.345,3.60465,256.512
2017/01/18,85.7,282.141,3.61306,256.312
2017/01/17,85.5,93.7393,3.62151,256.112
2017/01/16,84.7,100.623,3.65571,255.312
2017/01/13,85.4,145.64,3.62575,256.012
2017/01/12,84.8,306.679,3.6514,255.412
2017/01/11,85.6,236.971,3.61728,256.212
2017/01/10,85.5,120.371,3.62151,256.112
2017/01/09,85.6,140.827,3.62332,256.212
2017/01/06,85,191.604,3.64889,255.612
2017/01/05,85.3,212.083,3.63606,255.912
2017/01/04,85.5,162.598,3.62756,256.112
2017/01/03,85.5,98.4966,3.62756,256.112
2016/12/30,85.3,129.246,3.63606,255.912
2016/12/29,85,150.531,3.64889,255.612
2016/12/28,85,196.634,3.64889,255.612
2016/12/27,84,145.975,3.69233,254.612
2016/12/26,83,64.6136,3.73682,253.612
2016/12/23,82.7,112.226,3.75038,253.312
2016/12/22,83,139.968,3.73682,253.612
2016/12/21,83.7,120.472,3.70557,254.312
2016/12/20,83.6,197.613,3.71,254.212
2016/12/19,83.7,254.072,3.70557,254.312
2016/12/16,85.3,290.611,3.63606,255.912
2016/12/15,86.3,291.031,3.59393,256.912
2016/12/14,86.7,382.871,3.57735,257.312
2016/12/13,86.2,283.589,3.5981,256.812
2016/12/12,85.6,290.7,3.62332,256.212
2016/12/09,86,445.652,3.60009,256.612
2016/12/08,85.5,566.824,3.62115,256.112
2016/12/07,83.6,288.744,3.70344,254.212
2016/12/06,82.7,292.202,3.74375,253.312
2016/12/05,82.9,250.022,3.73472,253.512
2016/12/02,82.8,253.114,3.73923,253.412
2016/12/01,82.3,515.728,3.76194,252.912
2016/11/30,83.6,845.267,3.70344,254.212
2016/11/29,84,389.192,3.68581,254.612
2016/11/28,82.2,316.063,3.76652,252.812
2016/11/25,81.8,358.35,3.78494,252.412
