date,close,volume,yield
2016/08/26,12.85,589.987,2.72101
2016/08/25,12.95,1570.27,2.7
2016/08/24,12.4,834.617,2.81976
2016/08/23,12.6,797.703,2.775
2016/08/22,12.7,999.913,2.75315
2016/08/19,12.7,1653.22,2.75315
2016/08/18,12.25,592.913,2.85429
2016/08/17,12.3,857.52,2.84268
2016/08/16,12.45,1295.97,2.80843
2016/08/15,12.15,1398.67,2.87778
2016/08/12,12.7,665.778,2.75315
2016/08/11,12.7,1492.85,2.75315
2016/08/10,13,1134.1,2.68962
2016/08/09,13.35,911.434,2.62472
2016/08/08,13.6,1361.22,2.57647
2016/08/05,13.35,1843.39,2.62472
2016/08/04,13,596.274,2.69538
2016/08/03,13.05,1178.95,2.68506
2016/08/02,13.05,774.131,2.68506
2016/08/01,12.9,795.332,2.71628
2016/07/29,12.95,1316.67,2.70579
2016/07/28,12.9,2651.28,2.71628
2016/07/27,12.65,2277.87,2.76996
2016/07/26,12.45,1414.06,2.81446
2016/07/25,12.3,1519.25,2.84878
2016/07/22,12.6,1537,2.78095
2016/07/21,12.75,3005.36,2.74824
2016/07/20,12.25,1227.32,2.86041
2016/07/19,12.25,2553.22,2.86041
2016/07/18,11.75,1393.82,2.98213
2016/07/15,11.25,638.57,3.11467
2016/07/14,11.15,708.539,3.1426
2016/07/13,11.3,1248.98,3.10088
2016/07/12,10.9,744.733,3.21468
2016/07/11,11.1,1216.67,3.15676
2016/07/07,10.9,1657.35,3.2084
2016/07/06,11,1061.86,3.17924
2016/07/05,11.25,870.353,3.10859
2016/07/04,11.2,1073.43,3.12246
2016/07/01,11,1781.75,3.17924
2016/06/30,10.95,2733.57,3.19375
2016/06/29,10.25,2341.98,3.41186
2016/06/28,9.7,572.898,3.60532
2016/06/27,9.54,406.914,3.66579
2016/06/24,9.35,768.607,3.74028
2016/06/23,9.42,324.508,3.71248
2016/06/22,9.43,277.474,3.70855
2016/06/21,9.32,429.989,3.75232
2016/06/20,9.4,345.358,3.72038
2016/06/17,9.19,519.623,3.8054
2016/06/16,9.13,438.368,3.83041
2016/06/15,9.27,240.585,3.77256
2016/06/14,9.25,234.27,3.78071
2016/06/13,9.05,356.232,3.86426
2016/06/08,9.31,322.256,3.75596
2016/06/07,9.34,301.977,3.7439
2016/06/06,9.29,644.835,3.76405
2016/06/04,9.19,81.9205,3.80501
2016/06/03,9.15,283.109,3.82164
2016/06/02,9.2,407.15,3.80087
2016/06/01,9.32,643.037,3.75193
2016/05/31,9.06,452.054,3.8596
2016/05/30,8.92,317.215,3.92018
2016/05/27,9.02,273.74,3.87672
2016/05/26,8.97,198.075,3.89833
2016/05/25,8.96,315.823,3.90268
2016/05/24,8.89,374.219,3.93341
2016/05/23,9.07,888.031,3.85535
2016/05/20,8.55,388.358,4.08982
2016/05/19,8.41,332.738,4.15791
2016/05/18,8.45,369.918,4.13822
2016/05/17,8.55,295.487,4.08982
2016/05/16,8.58,261.102,4.07552
2016/05/13,8.58,347.248,4.07552
2016/05/12,8.75,331.784,3.99634
2016/05/11,8.58,363.59,4.07552
2016/05/10,8.72,264.351,4.01009
2016/05/09,8.81,455.703,3.97337
2016/05/06,8.63,351.797,4.05625
2016/05/05,8.67,491.063,4.03753
2016/05/04,8.72,581.453,4.01438
2016/05/03,9.02,646.632,3.88086
2016/04/29,9.4,351.431,3.72398
2016/04/28,9.54,330.733,3.66933
2016/04/27,9.57,373.453,3.65783
2016/04/26,9.52,435.6,3.67704
2016/04/25,9.74,337.629,3.59398
2016/04/22,9.9,404.346,3.5359
2016/04/21,9.89,337.047,3.53947
2016/04/20,9.81,367.162,3.56834
2016/04/19,9.82,548.606,3.5647
2016/04/18,9.98,385.409,3.50756
2016/04/15,9.9,246.902,3.5359
2016/04/14,9.88,525.252,3.54306
2016/04/13,9.86,438.235,3.55024
2016/04/12,9.69,575.668,3.61253
2016/04/11,9.85,776.004,3.55385
2016/04/08,9.71,1283.59,5.1499
2016/04/07,9.01,401.426,5.55
2016/04/06,9.2,433.786,5.43538
2016/04/01,9.51,436.037,5.2582
2016/03/31,9.67,515.625,5.1712
2016/03/30,9.75,652.118,5.12877
2016/03/29,9.6,617.311,5.20891
2016/03/28,9.73,668.879,5.13931
2016/03/25,9.55,223.243,5.23618
2016/03/24,9.54,482.984,5.24167
2016/03/23,9.72,357.796,5.1446
2016/03/22,9.75,785.524,5.12877
2016/03/21,9.95,288.324,5.02568
2016/03/18,9.93,564.649,5.0358
2016/03/17,9.86,1209.23,5.07155
2016/03/16,10.05,1349.74,4.97567
2016/03/15,9.78,1461.97,5.11304
2016/03/14,9.83,1039.26,5.08703
2016/03/11,9.7,766.965,5.15521
2016/03/10,9.7,1557.21,5.15521
2016/03/09,9.3,810.777,5.37516
2016/03/08,9.3,987.481,5.37516
2016/03/07,8.95,661.859,5.58536
2016/03/04,9.08,799.353,5.5054
2016/03/03,9.19,860.047,5.4395
2016/03/02,9.18,844.881,5.44543
2016/03/01,9.04,364.383,5.52976
2016/02/26,9.01,490.314,5.54817
2016/02/25,9.1,1127.38,5.4933
2016/02/24,8.96,1518.9,5.57913
2016/02/23,8.57,667.501,5.83302
2016/02/22,8.4,370.829,5.95107
2016/02/19,8.49,364.903,5.88799
2016/02/18,8.65,689.423,5.77908
2016/02/17,8.48,414.08,5.89493
2016/02/16,8.62,320.329,5.79919
2016/02/15,8.26,320.469,6.05194
2016/02/03,8.4,512.29,5.95383
2016/02/02,8.61,753.686,5.80862
2016/02/01,8.85,566.563,5.6511
2016/01/30,8.77,351.14,5.70264
2016/01/29,8.58,806.179,5.82893
2016/01/28,8.76,292.609,5.70915
2016/01/27,8.73,263.403,5.72877
2016/01/26,8.82,393.413,5.67032
2016/01/25,8.87,397.207,5.63835
2016/01/22,8.88,326.983,5.632
2016/01/21,8.81,331.589,5.67675
2016/01/20,8.75,508.076,5.71568
2016/01/19,9.05,223.446,5.52621
2016/01/18,9.09,390.315,5.50189
2016/01/15,9.06,736.598,5.52011
2016/01/14,9.43,479.705,5.30352
2016/01/13,9.6,1022.04,5.2096
2016/01/12,9.53,1719.49,5.24787
2016/01/11,9.02,527.013,5.54459
2016/01/08,9.12,375.982,5.48167
2016/01/07,9.08,559.11,5.50581
2016/01/06,9.09,464.51,5.49976
2016/01/05,9.2,568.201,5.434
2016/01/04,9.46,471.211,5.28465
2015/12/31,9.73,211.696,5.13801
2015/12/30,9.7,614.053,5.1539
2015/12/29,9.85,535.406,5.07541
2015/12/28,9.79,491.132,5.10652
2015/12/25,9.98,486.371,5.0093
2015/12/24,9.95,1099.66,5.0244
2015/12/23,9.9,2134.31,5.04978
2015/12/22,9.55,1893.64,5.23485
2015/12/21,9.53,1804.89,5.24583
2015/12/18,8.67,443.759,5.76618
2015/12/17,8.77,460.077,5.70043
2015/12/16,8.8,813.52,5.681
2015/12/15,8.68,597.428,5.75954
2015/12/14,8.11,373.832,6.16434
2015/12/11,8.33,415.912,6.00154
2015/12/10,8.49,479.219,5.88843
2015/12/09,8.59,364.073,5.81553
2015/12/08,8.73,305.841,5.72227
2015/12/07,8.89,438.845,5.61928
2015/12/04,8.75,359.85,5.70919
2015/12/03,8.73,307.256,5.72227
2015/12/02,8.83,283.086,5.65746
2015/12/01,8.91,280.819,5.60667
2015/11/30,8.74,551.067,5.71572
2015/11/27,8.88,300.872,5.62561
2015/11/26,8.96,311.077,5.57538
2015/11/25,8.75,376.663,5.70919
2015/11/24,8.91,304.443,5.60667
2015/11/23,9.15,173.218,5.45961
2015/11/20,9.06,262.796,5.51384
2015/11/19,9.11,290.909,5.48358
2015/11/18,8.97,346.182,5.56916
2015/11/17,9,390.162,5.5506
2015/11/16,8.89,367.585,5.61928
2015/11/13,9,584.78,5.5506
2015/11/12,9.23,284.556,5.41229
2015/11/11,9.23,574.914,5.41229
2015/11/10,9.42,457.541,5.30312
2015/11/09,9.58,386.338,5.21989
2015/11/06,9.76,745.791,5.12362
2015/11/05,10.15,684.731,4.92675
2015/11/04,9.95,614.742,5.02578
2015/11/03,9.84,387.711,5.08196
2015/11/02,9.73,292.871,5.13941
2015/10/30,9.57,588.759,5.22534
2015/10/29,9.77,656.638,5.11837
2015/10/28,9.86,581.032,5.07165
2015/10/27,9.94,471.772,5.03084
2015/10/26,9.83,492.815,5.08713
2015/10/23,9.78,604.601,5.11314
2015/10/22,9.8,416.46,5.1027
2015/10/21,9.8,970.068,5.1027
2015/10/20,10.2,446.935,4.9026
2015/10/19,10.35,323.021,4.83155
2015/10/16,10.35,633.97,4.83155
2015/10/15,10.45,524.29,4.78531
2015/10/14,10.35,571.707,4.83155
2015/10/13,10.3,497.671,4.855
2015/10/12,10.2,855.367,4.9026
2015/10/08,9.95,335.875,5.02312
2015/10/07,9.99,409.294,5.003
2015/10/06,9.85,559.877,5.07411
2015/10/05,9.96,416.247,5.01807
2015/10/02,9.98,431.542,5.00802
2015/10/01,9.86,414.411,5.06897
2015/09/30,9.71,620.338,5.14727
2015/09/25,9.89,394.937,5.05359
2015/09/24,9.72,692.765,5.14198
2015/09/23,9.9,852.057,5.04849
2015/09/22,10.3,1053.26,4.85243
2015/09/21,10.35,631.721,4.82899
2015/09/18,11,480.342,4.54364
2015/09/17,11.1,834.289,4.5027
2015/09/16,10.95,1017.72,4.56438
2015/09/15,10.8,460.996,4.62778
2015/09/14,10.85,669.81,4.60645
2015/09/11,10.85,600.785,4.60645
2015/09/10,10.75,695.999,4.6493
2015/09/09,10.8,1688.34,4.62917
2015/09/08,10.25,555.597,4.87756
2015/09/07,10.15,513.203,4.92562
2015/09/04,10.2,963.376,4.90147
2015/09/03,10.3,1039.21,4.85388
2015/09/02,10,945.82,4.9995
2015/09/01,10.05,911.328,4.97463
2015/08/31,10.5,1694.86,4.76143
2015/08/28,9.92,1102.67,5.03982
2015/08/27,9.48,1092.27,5.27373
2015/08/26,9.24,620.649,5.41071
2015/08/25,9.34,1009.74,5.35278
2015/08/24,8.6,943.875,5.81337
2015/08/21,8.95,821.646,5.58603
2015/08/20,9.32,582.773,5.36427
2015/08/19,9.25,966.481,5.40486
2015/08/18,9.75,685.78,5.12769
