date,close,volume,yield
2016/08/26,8.16,107.978,6.12431
2016/08/25,8.15,130.406,6.13183
2016/08/24,8.07,82.3516,6.19262
2016/08/23,8.12,124.398,6.15448
2016/08/22,8.08,193.263,6.18495
2016/08/19,8.14,170.956,6.13936
2016/08/18,8.2,202.436,6.09444
2016/08/17,8.14,157.36,6.13936
2016/08/16,8.13,148.767,6.14691
2016/08/15,8.18,173.635,6.10934
2016/08/12,8.18,393.487,6.10934
2016/08/11,8.04,250.166,6.21572
2016/08/10,8,211.95,6.2468
2016/08/09,7.92,135.312,6.31803
2016/08/08,7.95,138.404,6.29419
2016/08/05,7.9,157.594,6.33402
2016/08/04,7.81,105.284,6.40702
2016/08/03,7.82,93.6106,6.39882
2016/08/02,7.82,113.141,6.39882
2016/08/01,7.87,115.894,6.35817
2016/07/29,7.76,131.747,6.4483
2016/07/28,7.86,142.105,6.36626
2016/07/27,7.88,96.5719,6.3501
2016/07/26,7.9,143.965,6.33402
2016/07/25,7.95,148.489,6.29419
2016/07/22,7.9,170.296,6.33402
2016/07/21,7.98,280.879,6.27053
2016/07/20,7.9,194.54,6.33402
2016/07/19,7.93,240.059,6.31006
2016/07/18,7.9,199.766,6.33402
2016/07/15,7.82,300.868,6.39882
2016/07/14,7.75,150.164,6.45662
2016/07/13,7.71,167.971,6.49012
2016/07/12,7.69,136.974,6.507
2016/07/11,7.65,210.864,6.54102
2016/07/07,7.57,125.441,6.60206
2016/07/06,7.6,227.83,6.576
2016/07/05,7.73,116.758,6.46541
2016/07/04,7.77,97.2765,6.43212
2016/07/01,7.8,172.174,6.40738
2016/06/30,7.77,165.891,6.43212
2016/06/29,7.72,121.058,6.47378
2016/06/28,7.62,77.5403,6.55874
2016/06/27,7.62,90.6623,6.55874
2016/06/24,7.65,286.505,6.53302
2016/06/23,7.78,112.059,6.42386
2016/06/22,7.84,137.982,6.37469
2016/06/21,7.82,195.633,6.391
2016/06/20,7.79,118.58,6.41561
2016/06/17,7.77,167.862,6.43212
2016/06/16,7.6,222.654,6.576
2016/06/15,7.77,119.898,6.43212
2016/06/14,7.77,89.3513,6.43212
2016/06/13,7.72,229.93,6.47378
2016/06/08,7.91,236.767,6.32597
2016/06/07,7.86,242.24,6.36621
2016/06/06,7.83,172.668,6.3906
2016/06/04,7.81,119.201,6.40697
2016/06/03,7.85,445.495,6.37432
2016/06/02,8.2,452.77,6.10224
2016/06/01,8.26,239.421,6.05792
2016/05/31,8.22,466.883,6.0874
2016/05/30,8.19,355.984,6.10969
2016/05/27,8.08,212.469,6.19287
2016/05/26,7.96,98.1074,6.28623
2016/05/25,7.98,191.662,6.27048
2016/05/24,7.92,174.14,6.31798
2016/05/23,7.92,265.061,6.31798
2016/05/20,7.72,167.999,6.48166
2016/05/19,7.62,240.375,6.56672
2016/05/18,7.66,231.673,6.53243
2016/05/17,7.74,227.61,6.46491
2016/05/16,7.58,167.662,6.60137
2016/05/13,7.6,315.129,6.584
2016/05/12,7.75,128.595,6.45657
2016/05/11,7.74,227.503,6.46491
2016/05/10,7.88,135.487,6.35005
2016/05/09,7.77,161.939,6.43063
2016/05/06,7.81,269.626,6.3977
2016/05/05,7.91,199.52,6.31681
2016/05/04,8.01,275.542,6.23795
2016/05/03,8.12,180.034,6.15345
2016/04/29,8.23,224.308,6.0712
2016/04/28,8.31,274.983,6.01276
2016/04/27,8.51,170.534,5.87145
2016/04/26,8.51,137.079,5.87145
2016/04/25,8.47,84.4916,5.89917
2016/04/22,8.43,149.606,5.92717
2016/04/21,8.43,118.553,5.92717
2016/04/20,8.35,154.989,5.98395
2016/04/19,8.4,109.742,5.94833
2016/04/18,8.41,68.2251,5.94126
2016/04/15,8.45,191.41,5.91314
2016/04/14,8.42,225.873,5.9342
2016/04/13,8.35,224.877,5.98395
2016/04/12,8.14,131.109,6.13833
2016/04/11,8.15,88.3069,6.1308
2016/04/08,8.2,185.856,7.31767
2016/04/07,8.15,204.427,7.36257
2016/04/06,8.2,331.304,7.31767
2016/04/01,8.47,182.243,7.0844
2016/03/31,8.6,273.302,6.97731
2016/03/30,8.57,341.111,7.00174
2016/03/29,8.32,195.687,7.21213
2016/03/28,8.41,97.4832,7.13495
2016/03/25,8.5,176.766,7.0594
2016/03/24,8.49,211.58,7.06772
2016/03/23,8.5,169.062,7.0594
2016/03/22,8.49,187.348,7.06772
2016/03/21,8.5,225.142,7.0594
2016/03/18,8.52,456.622,7.04283
2016/03/17,8.4,266.714,7.14344
2016/03/16,8.31,141.714,7.22081
2016/03/15,8.25,244.46,7.27332
2016/03/14,8.41,268.288,7.13495
2016/03/11,8.38,256.644,7.16049
2016/03/10,8.3,298.371,7.22951
2016/03/09,8.2,148.032,7.31878
2016/03/08,8.3,188.209,7.2306
2016/03/07,8.35,254.829,7.1873
2016/03/04,8.27,279.974,7.25683
2016/03/03,8.16,344.516,7.35466
2016/03/02,8.05,222.684,7.45515
2016/03/01,7.99,187.469,7.51114
2016/02/26,7.99,175.55,7.51114
2016/02/25,7.94,206.022,7.55844
2016/02/24,7.89,122.001,7.60634
2016/02/23,7.88,127.823,7.61599
2016/02/22,7.87,154.357,7.62567
2016/02/19,7.82,240.842,7.67442
2016/02/18,7.9,244.426,7.59671
2016/02/17,7.84,206.976,7.65485
2016/02/16,7.88,300.859,7.61599
2016/02/15,7.66,188.713,7.83473
2016/02/03,7.61,402.663,7.88393
2016/02/02,7.82,420.949,7.67221
2016/02/01,8,336.749,7.49959
2016/01/30,8.11,223.074,7.39787
2016/01/29,7.94,498.493,7.55626
2016/01/28,7.66,232.227,7.83247
2016/01/27,7.65,298.751,7.8427
2016/01/26,7.72,641.339,7.77159
2016/01/25,7.27,206.704,8.25264
2016/01/22,7.03,195.909,8.53438
2016/01/21,6.95,268.481,8.63262
2016/01/20,7.1,217.834,8.45024
2016/01/19,7.3,147.377,8.21873
2016/01/18,7.23,219.53,8.2983
2016/01/15,7.13,277.099,8.41468
2016/01/14,7.36,205.09,8.15172
2016/01/13,7.5,164.847,7.99956
2016/01/12,7.41,152.81,8.09672
2016/01/11,7.4,223.22,8.10766
2016/01/08,7.67,175.938,7.8179
2016/01/07,7.66,262.998,7.82811
2016/01/06,7.89,193.648,7.59991
2016/01/05,7.97,130.271,7.52363
2016/01/04,7.97,215.454,7.52363
2015/12/31,8.23,85.234,7.28594
2015/12/30,8.14,96.3632,7.3665
2015/12/29,8.21,127.789,7.30369
2015/12/28,8.32,84.8346,7.20713
2015/12/25,8.36,68.3915,7.17264
2015/12/24,8.34,270.607,7.18984
2015/12/23,8.19,161.477,7.32153
2015/12/22,8.09,92.9973,7.41203
2015/12/21,8.08,129.123,7.4212
2015/12/18,8.01,205.215,7.48605
2015/12/17,8.14,192.48,7.3665
2015/12/16,8.01,121.804,7.48605
2015/12/15,7.92,136.56,7.57112
2015/12/14,7.9,166.193,7.59029
2015/12/11,8,222.032,7.49541
2015/12/10,8.11,236.844,7.39375
2015/12/09,8.21,286.169,7.31121
2015/12/08,8.38,194.337,7.16289
2015/12/07,8.52,110.231,7.04519
2015/12/04,8.43,153.824,7.1204
2015/12/03,8.64,105.077,6.94734
2015/12/02,8.58,132.02,6.99592
2015/12/01,8.62,219.647,6.96346
2015/11/30,8.41,595.372,7.13734
2015/11/27,8.54,99.4483,7.02869
2015/11/26,8.68,154.099,6.91532
2015/11/25,8.57,112.291,7.00408
2015/11/24,8.63,139.162,6.95539
2015/11/23,8.66,115.696,6.93129
2015/11/20,8.69,105.555,6.90737
2015/11/19,8.79,192.543,6.82878
2015/11/18,8.53,239.182,7.03693
2015/11/17,8.68,228.121,6.91532
2015/11/16,8.52,149.458,7.04519
2015/11/13,8.62,222.81,6.96346
2015/11/12,8.71,146.052,6.8915
2015/11/11,8.7,186.979,6.89943
2015/11/10,8.69,361.859,6.90737
2015/11/09,8.84,217.348,6.78767
2015/11/06,8.93,419.355,6.71926
2015/11/05,9.2,267.085,6.52207
2015/11/04,9.2,521.411,6.52207
2015/11/03,9.08,422.154,6.60826
2015/11/02,8.86,152.479,6.77235
2015/10/30,8.75,257.078,6.85749
2015/10/29,8.8,312.908,6.81852
2015/10/28,8.9,357.907,6.74191
2015/10/27,9.02,328.126,6.65222
2015/10/26,9.1,247.26,6.59374
2015/10/23,9.11,317.966,6.5865
2015/10/22,9.08,186.908,6.60826
2015/10/21,9.11,231.92,6.5865
2015/10/20,9.09,442.118,6.60099
2015/10/19,9.15,182.111,6.55771
2015/10/16,9.06,278.704,6.62285
2015/10/15,9.06,264.974,6.62285
2015/10/14,9.04,290.809,6.6375
2015/10/13,9.16,196.003,6.55055
2015/10/12,9.15,277.386,6.55771
2015/10/08,9.07,346.131,6.61545
2015/10/07,9.22,361.614,6.50782
2015/10/06,9.14,271.184,6.56478
2015/10/05,9,145.728,6.6669
2015/10/02,9.1,215.789,6.59364
2015/10/01,9,308.983,6.6669
2015/09/30,8.85,424.297,6.7799
2015/09/25,8.92,214.122,6.72669
2015/09/24,8.96,231.524,6.69666
2015/09/23,9.01,185.087,6.6595
2015/09/22,9.1,174.196,6.59364
2015/09/21,9.1,192.086,6.59364
2015/09/18,9.3,355.783,6.45184
2015/09/17,9.29,493.022,6.45878
2015/09/16,9.1,248.309,6.59364
2015/09/15,9.15,297.873,6.55761
2015/09/14,9.25,197.429,6.48671
2015/09/11,9.28,230.285,6.46574
2015/09/10,9.38,272.26,6.39681
2015/09/09,9.38,430.325,6.39744
2015/09/08,8.98,141.369,6.68241
2015/09/07,9.02,140.322,6.65277
2015/09/04,9.01,202.786,6.66016
2015/09/03,9.1,323.096,6.59429
2015/09/02,9.1,306.023,6.59429
2015/09/01,9.13,500.254,6.57262
2015/08/31,9.39,553.973,6.39063
2015/08/28,9.12,513.258,6.57982
2015/08/27,8.94,548.522,6.71231
2015/08/26,8.82,591.799,6.80363
2015/08/25,8.84,559.968,6.78824
2015/08/24,8.16,575.877,7.35392
2015/08/21,8.67,365.972,6.92134
2015/08/20,8.87,388.219,6.76528
2015/08/19,8.94,542.788,6.71231
2015/08/18,9.34,255.916,6.42484
2015/08/17,9.4,171.828,6.38383
2015/08/14,9.53,228.124,6.29675
2015/08/13,9.4,275.538,6.38383
2015/08/12,9.36,604.735,6.41111
2015/08/11,9.91,371.361,6.0553
2015/08/10,10.1,174.137,5.94139
2015/08/07,10.1,165.764,5.94267
2015/08/06,10.05,214.093,5.97224
2015/08/05,10.15,156.938,5.9134
2015/08/04,10.1,301.34,5.94267
2015/08/03,10.2,332.235,5.88441
2015/07/31,10.4,337.577,5.77125
2015/07/30,10.25,267.722,5.85571
2015/07/29,10.2,250.154,5.88441
2015/07/28,10.3,352.718,5.82728
2015/07/27,10.35,284.483,5.79913
2015/07/24,10.6,214.805,5.66236
2015/07/23,10.35,202.041,5.79913
2015/07/22,10.4,169.99,5.77125
2015/07/21,10.45,237.453,5.74364
2015/07/20,10.5,231.171,5.71629
